ERP_P_14,Estimated resident population - Persons - year ended 30 June,Persons - 60-64 years (no.),,,,,,447489,460119,467296,473666,479807,483982,
ERP_P_15,Estimated resident population - Persons - year ended 30 June,Persons - 65-69 years (no.),,,,,,393734,403426,407740,413974,421392,430070,
ERP_P_16,Estimated resident population - Persons - year ended 30 June,Persons - 70-74 years (no.),,,,,,342166,355935,365227,362901,365749,370619,
ERP_P_17,Estimated resident population - Persons - year ended 30 June,Persons - 75-79 years (no.),,,,,,238752,250395,261540,280476,297287,309188,
ERP_P_18,Estimated resident population - Persons - year ended 30 June,Persons - 80-84 years (no.),,,,,,167668,174192,179183,183796,188503,197592,
ERP_P_19,Estimated resident population - Persons - year ended 30 June,Persons - 85 and over (no.),,,,,,172141,175306,179983,183378,186760,192618,
ERP_P_21,Estimated resident population - Persons - year ended 30 June,Persons - 0-4 years (%),,,,,,6.1,6,5.9,5.9,5.7,5.6,
ERP_P_22,Estimated resident population - Persons - year ended 30 June,Persons - 5-9 years (%),,,,,,6.3,6.3,6.3,6.2,6,5.9,
ERP_P_23,Estimated resident population - Persons - year ended 30 June,Persons - 10-14 years (%),,,,,,6.1,6.2,6.3,6.3,6.2,6.1,
ERP_P_24,Estimated resident population - Persons - year ended 30 June,Persons - 15-19 years (%),,,,,,5.9,5.7,5.7,5.9,6,6.1,
ERP_P_25,Estimated resident population - Persons - year ended 30 June,Persons - 20-24 years (%),,,,,,6.8,6.6,6.3,6.3,6.6,6.7,
ERP_P_26,Estimated resident population - Persons - year ended 30 June,Persons - 25-29 years (%),,,,,,7.5,7.3,7,6.9,7.2,7.3,
ERP_P_27,Estimated resident population - Persons - year ended 30 June,Persons - 30-34 years (%),,,,,,7.4,7.4,7.4,7.3,7.4,7.4,
ERP_P_28,Estimated resident population - Persons - year ended 30 June,Persons - 35-39 years (%),,,,,,7,7.2,7.2,7.2,7.2,7.2,
ERP_P_29,Estimated resident population - Persons - year ended 30 June,Persons - 40-44 years (%),,,,,,6.3,6.3,6.4,6.5,6.6,6.7,
